Matrix Size, Iterations, Threads, Runtime
20, 1, 1, 0.000037
20, 2, 1, 0.000045
20, 3, 1, 0.000037
20, 4, 1, 0.000037
20, 5, 1, 0.000037
20, 6, 1, 0.000037
20, 7, 1, 0.000037
20, 8, 1, 0.000037
20, 9, 1, 0.000037
20, 10, 1, 0.000038
20, 11, 1, 0.000039
20, 1, 2, 0.000024
20, 2, 2, 0.000021
20, 3, 2, 0.000021
20, 4, 2, 0.000021
20, 5, 2, 0.000022
20, 6, 2, 0.000022
20, 7, 2, 0.000021
20, 8, 2, 0.000021
20, 9, 2, 0.000021
20, 10, 2, 0.000021
20, 11, 2, 0.000021
20, 1, 4, 0.000013
20, 2, 4, 0.000013
20, 3, 4, 0.000049
20, 4, 4, 0.000013
20, 5, 4, 0.000012
20, 6, 4, 0.000012
20, 7, 4, 0.000012
20, 8, 4, 0.000012
20, 9, 4, 0.000012
20, 10, 4, 0.000012
20, 11, 4, 0.000012
20, 1, 8, 0.000009
20, 2, 8, 0.000009
20, 3, 8, 0.000008
20, 4, 8, 0.000008
20, 5, 8, 0.000008
20, 6, 8, 0.000008
20, 7, 8, 0.000008
20, 8, 8, 0.000008
20, 9, 8, 0.000008
20, 10, 8, 0.000008
20, 11, 8, 0.000009
20, 1, 16, 0.000008
20, 2, 16, 0.000008
20, 3, 16, 0.000007
20, 4, 16, 0.000007
20, 5, 16, 0.000007
20, 6, 16, 0.000008
20, 7, 16, 0.000007
20, 8, 16, 0.000007
20, 9, 16, 0.000008
20, 10, 16, 0.000007
20, 11, 16, 0.000007
100, 1, 1, 0.004698
100, 2, 1, 0.004689
100, 3, 1, 0.004680
100, 4, 1, 0.004790
100, 5, 1, 0.004698
100, 6, 1, 0.004682
100, 7, 1, 0.004696
100, 8, 1, 0.004765
100, 9, 1, 0.004702
100, 10, 1, 0.004722
100, 11, 1, 0.004716
100, 1, 2, 0.002349
100, 2, 2, 0.002345
100, 3, 2, 0.002348
100, 4, 2, 0.002345
100, 5, 2, 0.002343
100, 6, 2, 0.002345
100, 7, 2, 0.002351
100, 8, 2, 0.002344
100, 9, 2, 0.002346
100, 10, 2, 0.002346
100, 11, 2, 0.002345
100, 1, 4, 0.001182
100, 2, 4, 0.001180
100, 3, 4, 0.001183
100, 4, 4, 0.001176
100, 5, 4, 0.001191
100, 6, 4, 0.001176
100, 7, 4, 0.001181
100, 8, 4, 0.001182
100, 9, 4, 0.001180
100, 10, 4, 0.001189
100, 11, 4, 0.001178
100, 1, 8, 0.000656
100, 2, 8, 0.000604
100, 3, 8, 0.000592
100, 4, 8, 0.000604
100, 5, 8, 0.000604
100, 6, 8, 0.000587
100, 7, 8, 0.000609
100, 8, 8, 0.000589
100, 9, 8, 0.000603
100, 10, 8, 0.000608
100, 11, 8, 0.000591
100, 1, 16, 0.000358
100, 2, 16, 0.000339
100, 3, 16, 0.000307
100, 4, 16, 0.000307
100, 5, 16, 0.000324
100, 6, 16, 0.000298
100, 7, 16, 0.000300
100, 8, 16, 0.000323
100, 9, 16, 0.000298
100, 10, 16, 0.000299
100, 11, 16, 0.000323
1000, 1, 1, 4.644178
1000, 2, 1, 4.632862
1000, 3, 1, 4.623959
1000, 4, 1, 4.626845
1000, 5, 1, 4.622152
1000, 6, 1, 4.619185
1000, 7, 1, 4.620638
1000, 8, 1, 4.616816
1000, 9, 1, 4.620889
1000, 10, 1, 4.613173
1000, 11, 1, 4.619990
1000, 1, 2, 2.320065
1000, 2, 2, 2.316784
1000, 3, 2, 2.311134
1000, 4, 2, 2.309811
1000, 5, 2, 2.312967
1000, 6, 2, 2.310689
1000, 7, 2, 2.309523
1000, 8, 2, 2.311318
1000, 9, 2, 2.311767
1000, 10, 2, 2.311040
1000, 11, 2, 2.315263
1000, 1, 4, 1.169261
1000, 2, 4, 1.175526
1000, 3, 4, 1.166592
1000, 4, 4, 1.170230
1000, 5, 4, 1.170699
1000, 6, 4, 1.160213
1000, 7, 4, 1.163989
1000, 8, 4, 1.160655
1000, 9, 4, 1.164393
1000, 10, 4, 1.159242
1000, 11, 4, 1.160014
1000, 1, 8, 0.584081
1000, 2, 8, 0.583654
1000, 3, 8, 0.586521
1000, 4, 8, 0.585011
1000, 5, 8, 0.585563
1000, 6, 8, 0.586353
1000, 7, 8, 0.584002
1000, 8, 8, 0.586782
1000, 9, 8, 0.584164
1000, 10, 8, 0.585628
1000, 11, 8, 0.584031
1000, 1, 16, 0.296157
1000, 2, 16, 0.299586
1000, 3, 16, 0.298882
1000, 4, 16, 0.299959
1000, 5, 16, 0.299831
1000, 6, 16, 0.300329
1000, 7, 16, 0.299589
1000, 8, 16, 0.298545
1000, 9, 16, 0.297499
1000, 10, 16, 0.299780
1000, 11, 16, 0.298035
