MPI_Ranks,Threads_Per_Rank,Matrix_Size,Time
1,1,20,0.000068
1,2,20,0.000074
1,4,20,0.000092
1,8,20,0.000153
1,16,20,0.000244
1,1,100,0.004152
1,2,100,0.004212
1,4,100,0.004157
1,8,100,0.004115
1,16,100,0.004144
1,1,500,0.647984
1,2,500,0.644901
1,4,500,0.650380
1,8,500,0.660881
1,16,500,0.626859
2,1,20,0.000055
2,2,20,0.000082
2,4,20,0.000092
2,8,20,0.000133
2,16,20,0.000244
2,1,100,0.002206
2,2,100,0.002346
2,4,100,0.002392
2,8,100,0.002375
2,16,100,0.002403
2,1,500,0.343436
2,2,500,0.340244
2,4,500,0.339042
2,8,500,0.352088
2,16,500,0.340405
4,1,20,0.000059
4,2,20,0.004852
4,4,20,0.002018
4,8,20,0.026148
4,16,20,0.036012
4,1,100,0.001144
4,2,100,0.002190
4,4,100,0.000702
4,8,100,0.027681
4,16,100,0.026050
4,1,500,0.144397
4,2,500,0.072204
4,4,500,0.036356
4,8,500,0.049489
4,16,500,0.043424
