Matrix Size, Iterations, Threads, Runtime
20, 0, 1, 0.000466
20, 1, 1, 0.000024
20, 2, 1, 0.000012
20, 3, 1, 0.000010
20, 4, 1, 0.000009
20, 5, 1, 0.000010
20, 6, 1, 0.000009
20, 7, 1, 0.000009
20, 8, 1, 0.000010
20, 9, 1, 0.000009
20, 10, 1, 0.000009
20, 0, 2, 0.000009
20, 1, 2, 0.000009
20, 2, 2, 0.000009
20, 3, 2, 0.000010
20, 4, 2, 0.000009
20, 5, 2, 0.000009
20, 6, 2, 0.000009
20, 7, 2, 0.000010
20, 8, 2, 0.000010
20, 9, 2, 0.000009
20, 10, 2, 0.000009
20, 0, 4, 0.000010
20, 1, 4, 0.000009
20, 2, 4, 0.000010
20, 3, 4, 0.000010
20, 4, 4, 0.000011
20, 5, 4, 0.000010
20, 6, 4, 0.000010
20, 7, 4, 0.000010
20, 8, 4, 0.000010
20, 9, 4, 0.000010
20, 10, 4, 0.000011
20, 0, 8, 0.000010
20, 1, 8, 0.000010
20, 2, 8, 0.000009
20, 3, 8, 0.000010
20, 4, 8, 0.000010
20, 5, 8, 0.000009
20, 6, 8, 0.000009
20, 7, 8, 0.000009
20, 8, 8, 0.000014
20, 9, 8, 0.000010
20, 10, 8, 0.000010
20, 0, 16, 0.000009
20, 1, 16, 0.000009
20, 2, 16, 0.000009
20, 3, 16, 0.000009
20, 4, 16, 0.000009
20, 5, 16, 0.000009
20, 6, 16, 0.000009
20, 7, 16, 0.000009
20, 8, 16, 0.000009
20, 9, 16, 0.000009
20, 10, 16, 0.000009
100, 0, 1, 0.000404
100, 1, 1, 0.000315
100, 2, 1, 0.000313
100, 3, 1, 0.000353
100, 4, 1, 0.000310
100, 5, 1, 0.000312
100, 6, 1, 0.000333
100, 7, 1, 0.000305
100, 8, 1, 0.000301
100, 9, 1, 0.000339
100, 10, 1, 0.000304
100, 0, 2, 0.000333
100, 1, 2, 0.000336
100, 2, 2, 0.000305
100, 3, 2, 0.000306
100, 4, 2, 0.000336
100, 5, 2, 0.000301
100, 6, 2, 0.000303
100, 7, 2, 0.000301
100, 8, 2, 0.000302
100, 9, 2, 0.000301
100, 10, 2, 0.000301
100, 0, 4, 0.000332
